Tipo,Value
md5,6dbce1851b656de5f49eb1d8c9786b72
sha1,e63a7e56571b100c6acd02ba892ed35e97b35fe1
sha256,f6521e298c849c14cd0a4d0e8947fa2d990e06d978e89a262e62c968cefd9b8f
md5,10fdc3ba0c7aafec51f0dbbadc88b2a1
sha1,9b7e13caec9b334eb9575430ae165362956c5930
sha256,3786ad08d8dacfa84a0c57b48dfa8921435f5579235d17edc00160e7a86ae1c5
md5,8df542a559b6586c3d9c3b1ba06b4d1e
sha1,ad1ffbfc161d33694646b278f38e81c09eb0844b
sha256,590885b5afc3aa1d34720bb758fb2868bb0870557db2110e61397a5364c7f8b3
md5,9cef7d0c4aa5693c97939b6c8ccccdc3
sha1,f94f2d4c520d76ad2318b0bde528ec39a619cb13
sha256,2c5f392767feced770b37fce6b66c1863daab36a716b07f25c5bef0eeafc0b26
md5,edd31ea8252b9105a928419e81bf1049
sha1,1c1acfee6a97f17f7a1a65fcb7eff654a5ce53f6
sha256,3b65dbd9b05019aae658c21f7fcb18dd29eea1555cc26c3fa12b9aa74ea55b88
md5,0d19d8a74457296ed967158d5e5e4899
sha1,2f8b8e00bdaed448e5b5ec68e4f8376baa50bf06
sha256,8594533a7544fa477e5711d237ccac7f4a62c2c847465ccea3cfdb414a00a397
md5,af45e7b2fbc3a27f6766eb0d22534425
sha1,3f7b2058d3101d862a731eb9b5acbe14aa981e6b
sha256,cefb7262229b0053daf3208f7adc7d4fb4edaf08944a9b65d7eb1efaa3128296
md5,0e158a969f8812f3f7557d63b684ea57
sha1,6f4ad0de0b4a760b1f4185ae78ef1c5643ef8a56
sha256,dd036085f8220d13c60f879ff48ccf6c7d60893217fc988ae64d2ee6a4eb3241
md5,59a063ea31d657a74675946d5ff64614
sha1,24dc220461761f0ff4c409fa42b44cccb3b70c37
sha256,fb621d2c94b980d87a8aa3239ebeda857a2fcb29f5aac08facacdc879f9ce784
md5,e813f214b0d97a708792314c2d217fd3
sha1,a5e21d94099e0267716f67917271276201ce539e
sha256,fd24367e7a71bce4435fb808f483e0466df60e851fd05eed9c2fd838404e7a9d